areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E92000001,England,nation,2021-12-15,,6358,
E92000001,England,nation,2021-12-14,,6434,18821
E92000001,England,nation,2021-12-13,,6395,59429
E92000001,England,nation,2021-12-12,,6223,41473
E92000001,England,nation,2021-12-11,,6095,38259
E92000001,England,nation,2021-12-10,,6088,42290
E92000001,England,nation,2021-12-09,,6130,46314
E92000001,England,nation,2021-12-08,,6053,47685
E92000001,England,nation,2021-12-07,,6027,46150
E92000001,England,nation,2021-12-06,,5992,49261
E92000001,England,nation,2021-12-05,,5903,33931
E92000001,England,nation,2021-12-04,,5784,32367
E92000001,England,nation,2021-12-03,147294,5851,38137
E92000001,England,nation,2021-12-02,147227,5915,41909
E92000001,England,nation,2021-12-01,147168,5829,45988
E92000001,England,nation,2021-11-30,147081,6123,46435
E92000001,England,nation,2021-11-29,146997,6094,46644
E92000001,England,nation,2021-11-28,146899,5890,33038
E92000001,England,nation,2021-11-27,146811,5852,27803
E92000001,England,nation,2021-11-26,146723,5992,32903
E92000001,England,nation,2021-11-25,146635,6068,36257
E92000001,England,nation,2021-11-24,146529,6062,38918
E92000001,England,nation,2021-11-23,146429,6257,40104
E92000001,England,nation,2021-11-22,146322,6424,41908
E92000001,England,nation,2021-11-21,146232,6322,31044
E92000001,England,nation,2021-11-20,146141,6191,29211
E92000001,England,nation,2021-11-19,146043,6310,32464
E92000001,England,nation,2021-11-18,145941,6336,36232
E92000001,England,nation,2021-11-17,145843,6412,37421
E92000001,England,nation,2021-11-16,145753,6623,37685
E92000001,England,nation,2021-11-15,145626,6864,41526
E92000001,England,nation,2021-11-14,145499,6707,28912
E92000001,England,nation,2021-11-13,145399,6639,26801
E92000001,England,nation,2021-11-12,145287,6777,30572
E92000001,England,nation,2021-11-11,145188,6861,32903
E92000001,England,nation,2021-11-10,145070,6961,34564
E92000001,England,nation,2021-11-09,144945,7053,33891
E92000001,England,nation,2021-11-08,144820,7075,35293
E92000001,England,nation,2021-11-07,144697,6910,24883
E92000001,England,nation,2021-11-06,144582,6874,22067
E92000001,England,nation,2021-11-05,144451,7072,23838
E92000001,England,nation,2021-11-04,144328,7201,26076
E92000001,England,nation,2021-11-03,144200,7291,28430
E92000001,England,nation,2021-11-02,144072,7510,30420
E92000001,England,nation,2021-11-01,143947,7535,36748
E92000001,England,nation,2021-10-31,143808,7311,28901
E92000001,England,nation,2021-10-30,143664,7155,27683
E92000001,England,nation,2021-10-29,143546,7113,33264
E92000001,England,nation,2021-10-28,143418,7019,34356
E92000001,England,nation,2021-10-27,143265,6951,35766
E92000001,England,nation,2021-10-26,143131,6883,34548
E92000001,England,nation,2021-10-25,143004,6801,39131
E92000001,England,nation,2021-10-24,142885,6515,29490
E92000001,England,nation,2021-10-23,142768,6386,29177
E92000001,England,nation,2021-10-22,142644,6405,33803
E92000001,England,nation,2021-10-21,142534,6366,37789
E92000001,England,nation,2021-10-20,142422,6299,43111
E92000001,England,nation,2021-10-19,142311,6099,43694
E92000001,England,nation,2021-10-18,142205,5938,48247
E92000001,England,nation,2021-10-17,142110,5623,36772
E92000001,England,nation,2021-10-16,142005,5385,31036
E92000001,England,nation,2021-10-15,141902,5363,35919
E92000001,England,nation,2021-10-14,141796,5289,38467
E92000001,England,nation,2021-10-13,141685,5246,39759
E92000001,England,nation,2021-10-12,141588,5213,40064
E92000001,England,nation,2021-10-11,141494,5206,42281
E92000001,England,nation,2021-10-10,141399,5077,30923
E92000001,England,nation,2021-10-09,141319,4921,26603
E92000001,England,nation,2021-10-08,141227,4975,29266
E92000001,England,nation,2021-10-07,141135,4962,31565
E92000001,England,nation,2021-10-06,141040,5009,31917
E92000001,England,nation,2021-10-05,140964,5006,31593
E92000001,England,nation,2021-10-04,140873,4909,35789
E92000001,England,nation,2021-10-03,140793,4778,26627
E92000001,England,nation,2021-10-02,140717,4652,21443
E92000001,England,nation,2021-10-01,140646,4799,23671
E92000001,England,nation,2021-09-30,140545,4916,26247
E92000001,England,nation,2021-09-29,140453,5017,28141
E92000001,England,nation,2021-09-28,140361,5126,29022
E92000001,England,nation,2021-09-27,140277,5121,33901
E92000001,England,nation,2021-09-26,140197,4949,26269
E92000001,England,nation,2021-09-25,140122,5100,22658
E92000001,England,nation,2021-09-24,140034,5036,25221
E92000001,England,nation,2021-09-23,139938,5214,27715
E92000001,England,nation,2021-09-22,139832,5406,28189
E92000001,England,nation,2021-09-21,139721,5543,29952
E92000001,England,nation,2021-09-20,139626,5727,31458
E92000001,England,nation,2021-09-19,139513,5695,24263
E92000001,England,nation,2021-09-18,139416,5688,20521
E92000001,England,nation,2021-09-17,139315,5910,21914
E92000001,England,nation,2021-09-16,139188,6081,21733
E92000001,England,nation,2021-09-15,139074,6306,21956
E92000001,England,nation,2021-09-14,138956,6344,22144
E92000001,England,nation,2021-09-13,138836,6424,24639
E92000001,England,nation,2021-09-12,138761,6253,17511
E92000001,England,nation,2021-09-11,138659,6206,16605
E92000001,England,nation,2021-09-10,138552,6400,20531
E92000001,England,nation,2021-09-09,138443,6254,23906
E92000001,England,nation,2021-09-08,138307,6302,25062
E92000001,England,nation,2021-09-07,138194,6244,27347
E92000001,England,nation,2021-09-06,138069,6375,32374
E92000001,England,nation,2021-09-05,137944,6167,22975
E92000001,England,nation,2021-09-04,137827,6043,22965
E92000001,England,nation,2021-09-03,137712,6195,28113
E92000001,England,nation,2021-09-02,137590,6186,29979
E92000001,England,nation,2021-09-01,137487,6236,30937
E92000001,England,nation,2021-08-31,137388,6293,32853
E92000001,England,nation,2021-08-30,137291,6002,24400
E92000001,England,nation,2021-08-29,137199,5855,18738
E92000001,England,nation,2021-08-28,137086,5756,19693
E92000001,England,nation,2021-08-27,136982,5889,23713
E92000001,England,nation,2021-08-26,136870,5893,25897
E92000001,England,nation,2021-08-25,136765,5922,27253
E92000001,England,nation,2021-08-24,136681,5911,27553
E92000001,England,nation,2021-08-23,136578,6000,29667
E92000001,England,nation,2021-08-22,136482,5749,21956
E92000001,England,nation,2021-08-21,136375,5575,22146
E92000001,England,nation,2021-08-20,136282,5576,25010
E92000001,England,nation,2021-08-19,136176,5554,28399
E92000001,England,nation,2021-08-18,136079,5514,30694
E92000001,England,nation,2021-08-17,135992,5437,30335
E92000001,England,nation,2021-08-16,135907,5429,30155
E92000001,England,nation,2021-08-15,135831,5115,20838
E92000001,England,nation,2021-08-14,135756,4973,20920
E92000001,England,nation,2021-08-13,135672,5076,24465
E92000001,England,nation,2021-08-12,135593,5029,27074
E92000001,England,nation,2021-08-11,135504,5073,28492
E92000001,England,nation,2021-08-10,135429,5096,26983
E92000001,England,nation,2021-08-09,135358,5098,27629
E92000001,England,nation,2021-08-08,135284,4939,19709
E92000001,England,nation,2021-08-07,135220,4817,19505
E92000001,England,nation,2021-08-06,135130,4879,24298
E92000001,England,nation,2021-08-05,135047,4894,27512
E92000001,England,nation,2021-08-04,134959,4944,28245
E92000001,England,nation,2021-08-03,134881,5116,26414
E92000001,England,nation,2021-08-02,134811,5309,25977
E92000001,England,nation,2021-08-01,134736,5090,18220
E92000001,England,nation,2021-07-31,134663,5057,18005
E92000001,England,nation,2021-07-30,134591,5111,21586
E92000001,England,nation,2021-07-29,134504,5056,24792
E92000001,England,nation,2021-07-28,134431,5182,26345
E92000001,England,nation,2021-07-27,134361,5163,25438
E92000001,England,nation,2021-07-26,134302,5055,25927
E92000001,England,nation,2021-07-25,134233,4725,19234
E92000001,England,nation,2021-07-24,134173,4476,19845
E92000001,England,nation,2021-07-23,134115,4401,24011
E92000001,England,nation,2021-07-22,134048,4230,27169
E92000001,England,nation,2021-07-21,133975,4063,31049
